Collocation,2013-09-07,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,2,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ἐάν,ανδρει,42.7628711718717,4,2,2,1,0,0,1,0,0,1,0,0,1,0,ἀνδρείαν-ἐάν (4)
ἤ,ανδρει,29.6032260835127,3,3,0,1,0,1,0,1,0,0,0,0,0,0,ἀνδρείους-ἤ (3)
τε,ανδρει,29.306533020841,4,2,2,0,1,0,0,1,0,0,1,0,0,1,ἀνδρείαν-τε (4)
σοφ,ανδρει,27.5473767059048,2,2,0,0,1,1,0,0,0,0,0,0,0,0,"ἀνδρείαν-σοφίαν (1), ἀνδρείους-σοφούς (1)"
ἀποδέχομαι,ανδρει,14.298538490486,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείους-ἀποδέχονται (1)
εὐγλωσσία,ανδρει,11.527018144363,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ἀνδρείαν-εὐγλωσσίαν (1)
ἡδύς,ανδρει,8.56332886867312,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ἀνδρείους-ἡδέως (1)
ἀγαθός,ανδρει,7.26047312691298,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ἀνδρείους-ἀγαθούς (1)
γίγνομαι,ανδρει,5.8481918825637,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ἀνδρείους-γενομένους (1)
οὐ,ανδρει,5.77233266623807,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ἀνδρείους-οὐκ (1)
ὁ,ανδρει,2.11914475256344,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ἀνδρείους-ο (1)
ανδρει,ανδρει,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"ἀνδρείαν-ἀνδρείαν (0), ἀνδρείους-ἀνδρείους (0)"
